employee_id,first_name,last_name,email,gender,manager_id,job_title,salary_(rupees) ,bonus_(rupees),effective_working_hours,number_of_tasks 
7754,Ferd,O'Doogan,fodoogan0@buzzfeed.com,Male,4000,General Manager,99955,6082,6.6,2
5580,Vito,Bullard,vbullard1@sina.com.cn,Male,5000,Analyst Programmer,99855,8606,7.8,4
5124,Zacharia,Padden,zpadden2@webnode.com,Male,6000,Recruiter,99763,9105,6.1,9
7297,Cly,Huggons,chuggons3@accuweather.com,Male,9999,Internal Auditor,99684,7464,6.7,8
2249,Northrop,Southway,nsouthway4@tumblr.com,Male,4000,Clinical Specialist,99579,6252,7.8,6
6121,Martita,Conring,mconring5@moonfruit.com,Female,9999,Nurse,99579,6883,6.4,6
5449,Gregg,Colloff,gcolloff6@samsung.com,Male,4000,Software Consultant,99253,8216,6.8,7
1962,Nadine,Houlaghan,nhoulaghan7@de.vu,Female,5000,Human Resources Manager,99243,6490,6.3,3
8305,Lazar,Bowgen,lbowgen8@redcross.org,Male,6000,Safety Technician IV,99212,8452,7.7,5
1126,Katrine,Kidston,kkidston9@aboutads.info,Female,9999,Structural Analysis Engineer,99203,9679,7.6,8
4276,Martainn,Bissett,mbissetta@yahoo.co.jp,Male,9999,Actuary,99154,6081,5.8,9
9157,Glenn,Lapthorn,glapthornb@blogs.com,Male,4000,Web Designer III,98879,9684,5.8,1
7242,Victoir,Josovich,vjosovichc@altervista.org,Male,9999,Technical Writer,98866,8753,5.3,1
6585,Rem,Tregidgo,rtregidgod@tripadvisor.com,Male,4000,Administrative Assistant III,98819,7343,7.6,1
5685,Johnnie,Wavish,jwavishe@ebay.com,Male,1001,Systems Administrator IV,98513,5717,7.5,10
2118,Fayre,Hyman,fhymanf@amazon.com,Female,6000,Help Desk Technician,98427,9962,6.5,9
8335,Natal,Leaf,nleafg@posterous.com,Male,1001,Internal Auditor,98299,6366,6.2,10
8796,Albert,Baughn,abaughnh@sbwire.com,Male,9999,Automation Specialist II,98292,8402,7.4,2
6329,Roselin,Godsil,rgodsili@studiopress.com,Female,5000,Marketing Manager,98282,7233,5.5,10
1700,Christie,Meysham,cmeyshamj@chron.com,Female,1001,Software Consultant,98234,6656,6.3,9
5052,Carolyne,Mallya,cmallyak@typepad.com,Female,5000,Database Administrator I,98175,8377,7.6,6
7027,Wendeline,Westwell,wwestwelll@netvibes.com,Female,9999,Financial Analyst,98165,6350,5.2,8
4804,Winifred,Thon,wthonm@nydailynews.com,Female,4000,Chief Design Engineer,98148,8849,7.2,10
6288,Winthrop,Clines,wclinesn@alibaba.com,Male,1001,Chemical Engineer,98129,6052,5.5,4
9480,Lyssa,Skarr,lskarro@vkontakte.ru,Female,6000,GIS Technical Architect,98019,9294,5.8,3
1403,Holli,Lambdon,hlambdonp@posterous.com,Female,5000,Environmental Tech,98010,6544,7.6,1
4556,Lyndel,Tapsell,ltapsellq@statcounter.com,Female,9999,Senior Editor,97868,9227,6.9,10
5383,Charmain,Devigne,cdevigner@reverbnation.com,Female,4000,Quality Engineer,97690,8876,5.3,4
4571,Maryanna,Tristram,mtristrams@chron.com,Female,9999,Biostatistician I,97477,8575,5.9,2
8530,Rad,Pitherick,rpitherickt@creativecommons.org,Male,4000,Desktop Support Technician,97416,9051,7.5,3
6655,Danyette,Helwig,dhelwigu@mit.edu,Female,4000,Research Assistant IV,97405,8110,5.1,8
8904,Phaedra,Du Hamel,pduhamelv@cafepress.com,Female,4000,Accounting Assistant II,97366,9588,5,9
2635,Hersh,Candy,hcandyw@bravesites.com,Male,1001,Structural Engineer,97201,9704,7.2,2
8272,Malanie,Claque,mclaquex@wsj.com,Female,6000,Assistant Manager,97065,5252,5.2,7
2962,Phineas,Tow,ptowy@springer.com,Male,9999,Social Worker,96972,8300,7.5,7
9283,Henriette,Probbings,hprobbingsz@icq.com,Female,9999,Paralegal,96789,5248,7.5,6
8229,Loren,Shead,lshead10@sitemeter.com,Male,1001,Cost Accountant,96532,6854,7.4,3
5516,Lucine,Tibbits,ltibbits11@scientificamerican.com,Female,6000,Business Systems Development Analyst,96432,5136,6.7,5
3424,Tabina,Gifkins,tgifkins12@scientificamerican.com,Female,1001,VP Accounting,96389,8319,6.9,3
6970,Devonna,Yes,dyes13@ucoz.com,Female,5000,Senior Editor,96290,9950,6.6,5
